Age,Hf
3777,-3.8
3729,-8.0
3717,1.2
3661,0.6
3661,3.4
3652,-6.9
3644,-1.2
3637,-1.6
3612,-4.2
3583,-5.8
3573,-5.3
3547,5.7
3543,5.9
3530,6.6
3517,-5.5
3513,0.3
3505,3.6
3500,0.7
3500,4.6
3500,4.9
3500,5.5
3500,5.8
3500,6.3
3500,6.4
3499,-7.1
3493,-2.7
3481,-3.5
3477,-0.9
3474,-1.4
3470,-12.2
3470,-4.8
3468,-2.1
3461,-6.8
3461,-2.5
3450,-1.1
3450,-0.9
3450,2.2
3450,2.2
3450,3.5
3450,4.1
3450,4.8
3450,5.4
3450,5.8
3450,7.2
3443,6.3
3436,-3.4
3433,3.2
3432,-1.8
3425,1.4
3425,-1.2
3422,7.6
3408,-1.3
3408,6.6
3405,-1.2
3399,-8.6
3398,-10.5
3391,1.6
3383,-8.5
3375,-5.8
3370,-5.3
3368,-6.7
3367,1.6
3366,-4.9
3364,-2.0
3364,-3.9
3362,2.6
3360,-1.4
3355,-0.6
3352,-11.5
3352,1.2
3352,-3.2
3351,1.4
3349,-3.4
3345,2.1
3345,5.4
3343,-7.5
3342,-2.1
3340,3.3
3339,2.8
3338,-4.8
3335,-7.8
3333,-0.4
3333,-3.3
3328,-5.0
3327,-9.0
3327,0.8
3327,2.5
3322,1.7
3321,0.7
3321,1.7
3315,-2.3
3313,-6.5
3311,-1.9
3310,0.7
3309,-1.7
3308,-7.5
3307,0.1
3303,-5.5
3302,2.1
3302,4.8
3301,-1.0
3299,-9.3
3297,1.5
3296,3.7
3295,3.3
3295,-0.9
3292,-7.5
3291,-0.8
3291,1.7
3287,1.7
3286,-1.2
3282,-1.2
3280,1.5
3277,-8.6
3276,0.7
3275,-3.1
3271,1.3
3267,-0.4
3266,-9.9
3263,0.3
3262,-4.8
3261,5.1
3261,1.9
3260,3.3
3257,1.3
3257,-0.4
3251,-2.2
3250,1.0
3250,-8.0
3246,-6.2
3245,-9.8
3232,-0.6
3231,-0.6
3229,2.4
3221,0.3
3220,-1.1
3219,0.7
3215,1.4
3214,3.2
3212,4.4
3211,-0.2
3210,0.3
3210,1.8
3207,1.2
3207,5.6
3205,-8.5
3197,-1.2
3194,3.3
3193,3.5
3193,0.4
3190,-4.7
3188,0.6
3188,1.6
3187,-0.2
3187,-2.4
3186,-4.8
3185,-4.6
3180,-5.9
3179,-6.4
3173,-10.8
3171,2.3
3171,1.3
3171,3.0
3167,0.9
3167,0.4
3166,-0.7
3166,-12.1
3165,0.5
