Age,d18O
0.01,10.37
0.109,2.06
0.109,2.06
0.11,2.83
0.11,2.83
0.115,2.52
0.115,2.52
0.15,2.46
0.15,2.46
0.15,4.8
0.15,4.8
0.17,2.88
0.17,2.88
0.177,4.97
0.177,4.97
0.177,5.53
0.177,5.53
0.198,1.54
0.198,1.54
0.484,3.22
0.484,3.22
0.486,-0.02
0.486,-0.02
0.5,1.57
0.5,1.57
0.5,2.56
0.5,2.56
0.516,0.49
0.516,0.49
0.6,4.16
0.6,4.16
0.62,3.9
0.62,3.9
0.76,5.59
0.76,5.59
0.76,5.83
0.76,5.83
0.76,5.94
0.76,5.94
0.76,5.94
0.76,5.94
0.82,3.6
0.82,3.6
0.945,3.97
0.945,3.97
0.945,4.18
0.945,4.18
0.99,6.4
0.99,6.4
0.99,6.6
0.99,6.6
1,6.6
1,6.6
1.04,6.2
1.04,6.2
1.04,6.6
1.04,6.6
1.06,6.4
1.06,6.4
1.06,6.6
1.06,6.6
1.06,8.3
1.06,8.3
1.07,5.6
1.07,5.6
1.07,7.3
1.07,7.3
1.08,5
1.08,5
1.08,6.3
1.08,6.3
1.1,5.6
1.1,5.6
1.1,6.4
1.1,6.4
1.1,6.6
1.1,6.6
1.1,6.7
1.1,6.7
1.11,6.5
1.11,6.5
1.11,7
1.11,7
1.11,7.1
1.11,7.1
1.12,6.5
1.12,6.5
1.13,5.5
1.13,5.5
1.13,6.4
1.13,6.4
1.14,6.2
1.14,6.2
1.14,6.2
1.14,6.2
1.14,6.3
1.14,6.3
1.14,6.3
1.14,6.3
1.14,6.3
1.14,6.3
1.14,6.4
1.14,6.4
1.14,6.5
1.14,6.5
1.14,7
1.14,7
1.15,3.84
1.15,3.84
1.16,6.6
1.16,6.6
1.16,6.6
1.16,6.6
1.16,6.7
1.16,6.7
1.16,7.2
1.16,7.2
1.16,7.2
1.16,7.2
1.17,5.9
1.17,5.9
1.17,6.1
1.17,6.1
1.17,6.6
1.17,6.6
1.17,8.3
1.17,8.3
1.19,6.6
1.19,6.6
1.19,6.9
1.19,6.9
1.2,3.58
1.2,3.58
1.22,6.4
1.22,6.4
1.22,6.5
1.22,6.5
1.22,6.5
1.22,6.5
1.23,6.3
1.23,6.3
1.23,6.9
1.23,6.9
1.23,7.4
1.23,7.4
1.293,3.62
1.293,3.62
1.3,6.4
1.3,6.4
1.37,6.7
1.37,6.7
1.48,6
1.48,6
1.48,6.5
1.48,6.5
1.48,6.6
1.48,6.6
1.48,6.9
1.48,6.9
1.5,5.6
1.5,5.6
1.5,6.3
1.5,6.3
1.76,1.62
1.76,1.62
1.8,1.9
1.8,1.9
2,5.17
2,5.17
2,5.57
2,5.57
4.5,4.39
5,4.99
5.5,8.46
6.4,4.62
6.4,4.73
6.4,4.96
6.5,11.6
6.6,4.71
7.2,9.02
7.2,9.66
7.2,10.89
7.3,6.76
8,9.28
11.3,4.4
11.3,4.4
11.3,4.42
11.3,4.42
11.5,6.5
11.5,6.5
11.5,6.6
11.5,6.6
12,4.4
12,4.4
12.7,5.8
12.7,5.8
12.7,5.9
12.7,5.9
12.8,6.8
12.8,6.8
12.8,6.93
12.8,6.93
16.5,1.65
16.5,1.65
16.5,1.95
16.5,1.97
16.5,2.03
16.5,2.28
16.5,2.29
16.5,2.29
16.5,2.31
16.5,2.31
16.5,2.35
16.5,2.41
16.5,2.45
16.5,2.48
16.5,2.49
16.5,2.58
16.5,2.6
16.5,2.66
16.5,2.68
16.5,2.75
16.5,2.75
16.5,2.77
16.5,2.78
16.5,2.78
16.5,2.86
16.5,2.9
16.5,2.9
16.5,2.91
16.5,2.91
16.5,3.04
16.5,3.06
16.5,3.09
16.5,3.12
16.5,3.15
16.5,3.2
16.5,3.21
16.5,3.28
16.5,3.32
16.5,5.07
16.5,5.15
16.5,5.22
16.5,5.28
16.5,5.29
16.5,5.3
16.5,5.31
16.5,5.31
16.5,5.36
16.5,5.38
16.5,5.4
16.5,5.4
16.5,5.43
16.5,5.43
16.5,5.44
16.5,5.44
16.5,5.46
16.5,5.46
16.5,5.47
16.5,5.51
16.5,5.52
16.5,5.54
16.5,5.54
16.5,5.56
16.5,5.56
16.5,5.57
16.5,5.58
16.5,5.58
16.5,5.58
16.5,5.6
16.5,5.6
16.5,5.61
16.5,5.61
16.5,5.62
16.5,5.63
16.5,5.64
16.5,5.64
16.5,5.67
16.5,5.69
16.5,5.71
16.5,5.71
16.5,5.72
16.5,5.73
16.5,5.83
16.5,6
