Age,Diameter km
"250,00",6
"250,00","3,8"
"250,00",5
"240,00",34
"230,00","1,5"
"220,00",40
"214,00",85
"201,00",23
"200,00",9
"200,00",12
"200,00","4,5"
"190,00",7
"190,00","2,5"
"180,00","3,5"
"170,00",10
"169,00",20
"167,00",40
"165,00","3,2"
"160,00",8
"150,00","1,3"
"150,00","1,6"
"145,00",70
"142,50",22
"142,00",40
"135,00","13,5"
"128,00",55
"121,00",9
"120,00",2
"120,00",18
"120,00","2,7"
"115,00",39
"110,00",4
"100,00",13
"99,00",13
"97,00",13
"91,00",25
"89,00",19
"86,70",15
"83,00",10
"81,00","6,5"
"80,00","3,5"
"76,20",23
"75,00",6
"73,80",35
"70,30",65
"70,00","3,5"
"70,00",6
"70,00",6
"70,00",12
"66,00",150
"65,17",24
"65,00",10
"65,00","9,5"
"60,00",9
"58,00","12,7"
"50,50",45
"50,00","5,1"
"49,00",3
"49,00",25
"49,00",12
"46,50","5,5"
"46,00","5,5"
"46,00",9
"45,00","2,8"
"42,30",15
"40,00",8
"40,00",20
"39,00",23
"37,20","7,5"
"36,40",28
"35,70",90
"35,50",40
"35,00","8,5"
"35,00",10
"20,50","3,6"
"15,10",24
"15,00","3,8"
"5,00",8
"5,00",52
"5,00",10
"3,70","2,5"
"3,50",18
"3,00","0,39"
"3,00","1,75"
"1,40","3,44"
"1,07","10,5"
"1,00","0,08"
"1,00","0,46"
"0,90",14
"0,82",14
"0,30","0,87"
"0,27","0,02"
"0,25","0,64"
"0,22","1,13"
"0,17","0,26"
"0,11",3
"0,10","0,45"
"0,10","4,5"
"0,06","0,16"
"0,05","1,83"
"0,05","1,8"
"0,05","1,18"
"0,02","1,9"
"0,01","0,1"
"0,01","0,3"
"0,01","0,08"
"0,01","0,17"
"0,00","0,15"
"0,00","0,11"
"0,00","0,05"
"0,00","0,04"
"0,00","0,05"
"0,00","0,01"
"0,00","0,11"
"0,00","0,02"
"0,00","0,0135"
"0,00","0,045"
"0,00","2,6"
