Age,BIO_ExtinctionIntensity (%),BIO_OriginationIntensity(%),BIO_Difference_Cubic,SEA_Modern land sea level,TEM_GAT,TEM_dT,CO2_pCO2 (ppm),O2_Mid O2%,O2_Range_Normalized,SR_Mean,SR_Range_Normalized,LIP_LIP_PDF,MAG_INT_mean,MAG_INT_std,MAG_POL_FREQUENCY,MAG_POL_FREQUENCY.3,ZIR_Count_PDF_d18O,ZIR_Interpolated_mean_d18O,ZIR_Count_PDF_Hf,ZIR_Interpolated_mean_Hf
23.05,0.011038009,0.214145563,0.772228791,0.014239028,0.168894259,0.590290715,0.033983711,0.026522313,0.348774921,0.608501363,0.077380789,0.366,0.234641876,0.284930672,0.184090909,0.2385,0.12987013,0.797916667,0.011764706,0.808695652
23,0.011131201,0.206236873,0.779781259,0.014322808,0.164847407,0.595995068,0.034065156,0.027092112,0.349352542,0.609733426,0.079346048,0.36,0.231803259,0.278974063,0.181818182,0.24,0.12987013,0.797916667,0.011764706,0.808695652
22.95,0.011131201,0.206236873,0.778209676,0.014406588,0.169660163,0.589801487,0.034146601,0.027729223,0.349954787,0.610951327,0.078846945,0.354,0.229135465,0.274439158,0.181818182,0.2415,0.0995671,0.846904537,0,0.704347826
22.9,0.011131201,0.206236873,0.776638092,0.014490368,0.174472919,0.583607905,0.034228045,0.028366333,0.350557032,0.612169229,0.078347842,0.348,0.22646767,0.269904252,0.181818182,0.243,0.0995671,0.846904537,0,0.704347826
22.85,0.011131201,0.206236873,0.775066509,0.014574148,0.179285675,0.577414324,0.03430949,0.029003444,0.351159276,0.61338713,0.077848739,0.342,0.223799876,0.265369347,0.181818182,0.2445,0.0995671,0.846904537,0,0.704347826
22.8,0.011131201,0.206236873,0.773494926,0.014657928,0.18409843,0.571220743,0.034390935,0.029640555,0.351761521,0.614619193,0.077966744,0.336,0.221509956,0.262951374,0.181818182,0.246,0.0995671,0.846904537,0,0.704347826
22.75,0.011131201,0.206236873,0.771923342,0.014741708,0.188911186,0.565027162,0.03447238,0.030277665,0.352363766,0.615851256,0.078084749,0.33,0.219298707,0.261617736,0.181818182,0.2475,0.0995671,0.846904537,0,0.704347826
22.7,0.011131201,0.206236873,0.770351759,0.014825488,0.193723942,0.558833581,0.034553824,0.030914776,0.35296601,0.617097481,0.079435613,0.324,0.21748664,0.261628374,0.181818182,0.249,0.0995671,0.846904537,0,0.704347826
22.65,0.011131201,0.206236873,0.768780175,0.014909268,0.198536698,0.55264,0.034635269,0.031551887,0.353568255,0.618343705,0.080786477,0.318,0.215674574,0.261639011,0.181818182,0.2505,0.0995671,0.846904537,0,0.704347826
22.6,0.011131201,0.206236873,0.767208592,0.014993048,0.203349454,0.546446419,0.034716714,0.032188997,0.354170499,0.61958993,0.082137341,0.312,0.213862507,0.261649649,0.181818182,0.252,0.0995671,0.846904537,0,0.704347826
22.55,0.011131201,0.206236873,0.765637009,0.015076828,0.20816221,0.540252837,0.034798159,0.032826108,0.354772744,0.620821993,0.082255346,0.306,0.212768869,0.262315641,0.181818182,0.2535,0.0995671,0.846904537,0,0.704347826
22.5,0.011131201,0.206236873,0.764065425,0.015160608,0.212974966,0.534059256,0.034879603,0.033463219,0.355374989,0.622054056,0.084224675,0.3,0.21191204,0.265630332,0.181818182,0.255,0.0995671,0.846904537,0,0.704347826
22.45,0.011131201,0.206236873,0.762493842,0.015244388,0.217787721,0.527865675,0.034961048,0.034100329,0.355977233,0.623314442,0.085578252,0.294,0.211552125,0.269177656,0.181818182,0.2565,0.0995671,0.846904537,0,0.704347826
22.4,0.011131201,0.206236873,0.760922258,0.015328168,0.222600477,0.521672094,0.035042493,0.03473744,0.356579478,0.624574829,0.086931829,0.288,0.211192211,0.272724979,0.181818182,0.258,0.0995671,0.846904537,0,0.704347826
22.35,0.011131201,0.206236873,0.759350675,0.015411948,0.227413233,0.515478513,0.035123938,0.03537455,0.357181722,0.625835215,0.088285406,0.282,0.210832296,0.276272303,0.181818182,0.2595,0.0995671,0.846904537,0,0.704347826
22.3,0.011131201,0.206236873,0.757779092,0.015495728,0.232225989,0.509284932,0.035205382,0.036011661,0.357783967,0.627109763,0.092106059,0.276,0.211101597,0.280221851,0.181818182,0.261,0.0995671,0.846904537,0,0.704347826
22.25,0.011131201,0.206236873,0.756207508,0.015579508,0.237038745,0.503091351,0.035286827,0.036648772,0.358386212,0.628384311,0.094075387,0.27,0.211590012,0.28525551,0.181818182,0.2625,0.0995671,0.846904537,0,0.704347826
22.2,0.011131201,0.206236873,0.754635925,0.015663288,0.241851501,0.496897769,0.035368272,0.037285882,0.358988456,0.629658859,0.095431677,0.264,0.212288074,0.287141197,0.181818182,0.264,0.0995671,0.846904537,0,0.704347826
22.15,0.011131201,0.206236873,0.753064341,0.015747068,0.246664257,0.490704188,0.035449717,0.037922993,0.359590701,0.630933406,0.096787967,0.258,0.212986135,0.289026883,0.181818182,0.2655,0.0995671,0.846904537,0,0.704347826
22.1,0.011131201,0.206236873,0.751492758,0.015830848,0.251477012,0.484510607,0.035531161,0.038560104,0.360192946,0.632207954,0.098144257,0.252,0.213684197,0.29091257,0.181818182,0.267,0.0995671,0.846904537,0,0.704347826
22.05,0.011131201,0.206236873,0.749921174,0.015914628,0.256289768,0.478317026,0.035612606,0.039197214,0.36079519,0.633482502,0.098266331,0.246,0.214908247,0.295336727,0.181818182,0.2685,0.0995671,0.846904537,0,0.704347826
22,0.011131201,0.206236873,0.748349591,0.015998408,0.261102524,0.472123445,0.035694051,0.039834325,0.361397435,0.634799535,0.100239728,0.24,0.216157509,0.300841185,0.181818182,0.27,0.0995671,0.846904537,0,0.704347826
21.95,0.011131201,0.206236873,0.746763228,0.016082188,0.257065,0.477677008,0.035775496,0.040125231,0.361991916,0.636102406,0.100981623,0.234,0.216936484,0.304994859,0.193181818,0.2725,0.095238095,0.846417984,0.011764706,0.704347826
21.9,0.011131201,0.206236873,0.745176865,0.016165968,0.253027477,0.483230572,0.035856941,0.040416138,0.362586396,0.637405278,0.101723518,0.228,0.217715458,0.309148534,0.204545455,0.275,0.095238095,0.846417984,0.011764706,0.704347826
21.85,0.011131201,0.206236873,0.743590502,0.016249748,0.248989953,0.488784135,0.035938385,0.040707044,0.363180877,0.638708149,0.102465412,0.222,0.218494433,0.313302208,0.215909091,0.2775,0.095238095,0.846417984,0.011764706,0.704347826
21.8,0.011131201,0.206236873,0.742004138,0.016333528,0.244952429,0.494337698,0.03601983,0.040997951,0.363775358,0.640025182,0.102591556,0.216,0.218595824,0.318236783,0.227272727,0.28,0.095238095,0.846417984,0.011764706,0.704347826
21.75,0.011131201,0.206236873,0.740417775,0.016417308,0.240914905,0.499891262,0.036101275,0.041288857,0.364369838,0.641342215,0.102717699,0.21,0.218116684,0.32033694,0.238636364,0.2825,0.095238095,0.846417984,0.011764706,0.704347826
21.7,0.011131201,0.206236873,0.738831412,0.016501088,0.236877382,0.505444825,0.03618272,0.041579763,0.364964319,0.642673409,0.10222809,0.204,0.216909592,0.321278817,0.25,0.285,0.095238095,0.846417984,0.011764706,0.704347826
21.65,0.011131201,0.206236873,0.737245049,0.016584868,0.232839858,0.510998389,0.036264164,0.04187067,0.3655588,0.644004604,0.101738482,0.198,0.215702499,0.322220694,0.261363636,0.2875,0.095238095,0.846417984,0.011764706,0.704347826
