,Age,Title,Event_text,BIO_ExtinctionIntensity (%),BIO_OriginationIntensity(%),BIO_Difference_Cubic,SEA_Modern land sea level  (C = 176.6 106km2/km),TEM_GAT,TEM_dT,CO2_pCO2 (ppm),O2_Mid O2%,O2_Range_Normalized,SR_87Sr/86Sr Mean,SR_Range_Normalized,LIP_LIP_PDF,MAG_INT_mean,MAG_INT_std,MAG_POL_FREQUENCY,MAG_POL_FREQUENCY.3,ZIR_Count_PDF_d18O,ZIR_Interpolated_mean_d18O,ZIR_Count_PDF_Hf,ZIR_Interpolated_mean_Hf
0,252.0,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,251.95,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,251.9,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
3,251.85,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
4,251.8,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
5,251.75,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6,251.7,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7,251.65,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
8,251.6,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
9,251.55,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10,251.5,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
11,251.45,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
12,251.4,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
13,251.35,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
14,251.3,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
15,251.25,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
16,251.2,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
17,251.15,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
18,251.1,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
19,251.05,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20,251.0,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
21,250.95,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
22,250.9,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
23,250.85,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
24,250.8,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
25,250.75,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
26,250.7,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
27,250.65,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
28,250.6,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
29,250.55,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
30,250.5,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
31,250.45,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
32,250.4,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
33,250.35,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
34,250.3,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
35,250.25,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
36,250.2,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
37,250.15,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
38,250.1,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
39,250.05,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
40,250.0,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
41,249.95,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
42,249.9,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
43,249.85,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
44,249.8,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
45,249.75,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
46,249.7,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
47,249.65,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
48,249.6,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
49,249.55,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50,249.5,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
51,249.45,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
52,249.4,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
53,249.35,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
54,249.3,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
55,249.25,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
56,249.2,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
57,249.15,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
58,249.1,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
59,249.05,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
60,249.0,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
61,248.95,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
62,248.9,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
63,248.85,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
64,248.8,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
65,248.75,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
66,248.7,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
67,248.65,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
68,248.6,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
69,248.55,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
70,248.5,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
71,248.45,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
72,248.4,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
73,248.35,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
74,248.3,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
